Vivado Simulator 2018.3
Time resolution is 1 ps
Angle=0.100000 Real values: sin=0.000000, cos=0.000000
Angle=0.200000 Real values: sin=0.000000, cos=0.000000
Angle=0.300000 Real values: sin=0.000000, cos=0.000000
Angle=0.400000 Real values: sin=0.000000, cos=0.000000
Angle=0.500000 Real values: sin=0.000000, cos=0.000000
Angle=0.600000 Real values: sin=0.000000, cos=0.000000
Angle=0.700000 Real values: sin=0.000000, cos=0.000000
Angle=0.800000 Real values: sin=0.000000, cos=0.000000
Angle=0.900000 Real values: sin=0.000000, cos=0.000000
Angle=1.000000 Real values: sin=0.000000, cos=0.000000
Angle=1.100000 Real values: sin=0.000000, cos=0.000000
Angle=1.200000 Real values: sin=0.000000, cos=0.000000
Angle=1.300000 Real values: sin=0.000000, cos=0.000000
Angle=1.400000 Real values: sin=0.000000, cos=0.000000
Angle=1.500000 Real values: sin=0.000000, cos=0.000000
Angle=1.600000 Real values: sin=0.000000, cos=0.000000
Angle=0.000000 Real values: sin=1.123047, cos=3.478516
Angle=0.100000 Real values: sin=0.704102, cos=2.979492
Angle=0.200000 Real values: sin=1.374023, cos=2.938477
Angle=0.300000 Real values: sin=2.064453, cos=2.862305
Angle=0.400000 Real values: sin=2.720703, cos=2.756836
Angle=0.500000 Real values: sin=3.342773, cos=2.627930
Angle=0.600000 Real values: sin=3.951172, cos=2.466797
Angle=0.700000 Real values: sin=0.504883, cos=2.288086
Angle=0.800000 Real values: sin=0.997070, cos=2.088867
Angle=0.900000 Real values: sin=1.475586, cos=1.857422
Angle=1.000000 Real values: sin=1.865234, cos=1.623047
Angle=1.100000 Real values: sin=2.234375, cos=1.353516
Angle=1.200000 Real values: sin=2.514648, cos=1.083984
Angle=1.300000 Real values: sin=2.726562, cos=0.805664
Angle=1.400000 Real values: sin=2.883789, cos=0.509766
Angle=1.500000 Real values: sin=2.979492, cos=0.208008
Angle=1.600000 Real values: sin=2.979492, cos=3.912109
Angle=0.000000 Real values: sin=3.986328, cos=3.000000
Angle=0.100000 Real values: sin=0.704102, cos=2.979492
Angle=0.200000 Real values: sin=1.374023, cos=2.938477
Angle=0.300000 Real values: sin=2.064453, cos=2.862305
Angle=0.400000 Real values: sin=2.720703, cos=2.756836
Angle=0.500000 Real values: sin=3.342773, cos=2.627930
Angle=0.600000 Real values: sin=3.951172, cos=2.466797
Angle=0.700000 Real values: sin=0.504883, cos=2.288086
Angle=0.800000 Real values: sin=0.997070, cos=2.088867
Angle=0.900000 Real values: sin=1.475586, cos=1.857422
Angle=1.000000 Real values: sin=1.865234, cos=1.623047
Angle=1.100000 Real values: sin=2.234375, cos=1.353516
Angle=1.200000 Real values: sin=2.514648, cos=1.083984
Angle=1.300000 Real values: sin=2.726562, cos=0.805664
Angle=1.400000 Real values: sin=2.883789, cos=0.509766
Angle=1.500000 Real values: sin=2.979492, cos=0.208008
Angle=1.600000 Real values: sin=2.979492, cos=3.912109
Angle=0.000000 Real values: sin=3.986328, cos=3.000000
Angle=0.100000 Real values: sin=0.704102, cos=2.979492
Angle=0.200000 Real values: sin=1.374023, cos=2.938477
Angle=0.300000 Real values: sin=2.064453, cos=2.862305
Angle=0.400000 Real values: sin=2.720703, cos=2.756836
Angle=0.500000 Real values: sin=3.342773, cos=2.627930
Angle=0.600000 Real values: sin=3.951172, cos=2.466797
Angle=0.700000 Real values: sin=0.504883, cos=2.288086
Angle=0.800000 Real values: sin=0.997070, cos=2.088867
Angle=0.900000 Real values: sin=1.475586, cos=1.857422
Angle=1.000000 Real values: sin=1.865234, cos=1.623047
Angle=1.100000 Real values: sin=2.234375, cos=1.353516
Angle=1.200000 Real values: sin=2.514648, cos=1.083984
Angle=1.300000 Real values: sin=2.726562, cos=0.805664
Angle=1.400000 Real values: sin=2.883789, cos=0.509766
Angle=1.500000 Real values: sin=2.979492, cos=0.208008
Angle=1.600000 Real values: sin=2.979492, cos=3.912109
Angle=0.000000 Real values: sin=3.986328, cos=3.000000
Angle=0.100000 Real values: sin=0.704102, cos=2.979492
Angle=0.200000 Real values: sin=1.374023, cos=2.938477
Angle=0.300000 Real values: sin=2.064453, cos=2.862305
Angle=0.400000 Real values: sin=2.720703, cos=2.756836
Angle=0.500000 Real values: sin=3.342773, cos=2.627930
Angle=0.600000 Real values: sin=3.951172, cos=2.466797
Angle=0.700000 Real values: sin=0.504883, cos=2.288086
Angle=0.800000 Real values: sin=0.997070, cos=2.088867
Angle=0.900000 Real values: sin=1.475586, cos=1.857422
Angle=1.000000 Real values: sin=1.865234, cos=1.623047
Angle=1.100000 Real values: sin=2.234375, cos=1.353516
Angle=1.200000 Real values: sin=2.514648, cos=1.083984
Angle=1.300000 Real values: sin=2.726562, cos=0.805664
Angle=1.400000 Real values: sin=2.883789, cos=0.509766
Angle=1.500000 Real values: sin=2.979492, cos=0.208008
Angle=1.600000 Real values: sin=2.979492, cos=3.912109
Angle=0.000000 Real values: sin=3.986328, cos=3.000000
Angle=0.100000 Real values: sin=0.704102, cos=2.979492
Angle=0.200000 Real values: sin=1.374023, cos=2.938477
Angle=0.300000 Real values: sin=2.064453, cos=2.862305
Angle=0.400000 Real values: sin=2.720703, cos=2.756836
Angle=0.500000 Real values: sin=3.342773, cos=2.627930
Angle=0.600000 Real values: sin=3.951172, cos=2.466797
Angle=0.700000 Real values: sin=0.504883, cos=2.288086
Angle=0.800000 Real values: sin=0.997070, cos=2.088867
Angle=0.900000 Real values: sin=1.475586, cos=1.857422
Angle=1.000000 Real values: sin=1.865234, cos=1.623047
Angle=1.100000 Real values: sin=2.234375, cos=1.353516
Angle=1.200000 Real values: sin=2.514648, cos=1.083984
Angle=1.300000 Real values: sin=2.726562, cos=0.805664
Angle=1.400000 Real values: sin=2.883789, cos=0.509766
Angle=1.500000 Real values: sin=2.979492, cos=0.208008
Angle=1.600000 Real values: sin=2.979492, cos=3.912109
